feature,repeat,importance,fold,model
age,1,0.0013151608391323288,1,Multinomial logistic regression
age,2,0.0017351622845515058,1,Multinomial logistic regression
years_of_education,1,0.0011357461590074114,1,Multinomial logistic regression
years_of_education,2,0.0005682109712839833,1,Multinomial logistic regression
number_of_comorbidities,1,-0.00010858364308355406,1,Multinomial logistic regression
number_of_comorbidities,2,0.00028179777353642965,1,Multinomial logistic regression
hospital_day_at_study_entry,1,0.005969501797500165,1,Multinomial logistic regression
hospital_day_at_study_entry,2,0.005175568932908603,1,Multinomial logistic regression
mean_arterial_pressure,1,0.0005545869837242923,1,Multinomial logistic regression
mean_arterial_pressure,2,0.0009653690756015743,1,Multinomial logistic regression
white_blood_cell_count,1,0.0003469302175247435,1,Multinomial logistic regression
white_blood_cell_count,2,0.00018339010137446987,1,Multinomial logistic regression
heart_rate,1,0.0014494263399722485,1,Multinomial logistic regression
heart_rate,2,0.0021220000181468024,1,Multinomial logistic regression
respiratory_rate,1,0.0003207187547252799,1,Multinomial logistic regression
respiratory_rate,2,0.0002889750241482081,1,Multinomial logistic regression
temperature,1,-0.00028278378512619495,1,Multinomial logistic regression
temperature,2,0.0003828626838833782,1,Multinomial logistic regression
pao2_fio2_ratio,1,0.0015153596485837362,1,Multinomial logistic regression
pao2_fio2_ratio,2,0.0020281001052820935,1,Multinomial logistic regression
albumin,1,0.0013421165600198681,1,Multinomial logistic regression
albumin,2,0.00041078292802615435,1,Multinomial logistic regression
bilirubin,1,0.0011972934791306677,1,Multinomial logistic regression
bilirubin,2,0.0013122478603235788,1,Multinomial logistic regression
creatinine,1,0.0004378559557107753,1,Multinomial logistic regression
creatinine,2,0.0010396401368850117,1,Multinomial logistic regression
sodium,1,0.00022338840354726996,1,Multinomial logistic regression
sodium,2,9.416553158722585e-05,1,Multinomial logistic regression
arterial_ph,1,0.0006835215177472542,1,Multinomial logistic regression
arterial_ph,2,0.0007393309347895893,1,Multinomial logistic regression
glucose,1,7.426856938411164e-05,1,Multinomial logistic regression
glucose,2,-2.6624504474270783e-05,1,Multinomial logistic regression
blood_urea_nitrogen,1,0.00013019993270496633,1,Multinomial logistic regression
blood_urea_nitrogen,2,0.000329679695024343,1,Multinomial logistic regression
urine_output,1,3.833312247983334e-05,1,Multinomial logistic regression
urine_output,2,-0.00018445406962164235,1,Multinomial logistic regression
adl_patient_reported,1,0.02394377868529199,1,Multinomial logistic regression
adl_patient_reported,2,0.03260121516558298,1,Multinomial logistic regression
adl_surrogate_reported,1,0.0015998104323464157,1,Multinomial logistic regression
adl_surrogate_reported,2,0.0009768657528011482,1,Multinomial logistic regression
sex,1,-1.0729201293219193e-05,1,Multinomial logistic regression
sex,2,-9.647315418109814e-06,1,Multinomial logistic regression
race,1,0.00015353311648569345,1,Multinomial logistic regression
race,2,0.00014147693222810176,1,Multinomial logistic regression
income_category,1,0.0003809079800928261,1,Multinomial logistic regression
income_category,2,0.000730704778262925,1,Multinomial logistic regression
diagnosis_group,1,0.011414338425389914,1,Multinomial logistic regression
diagnosis_group,2,0.008083851023798105,1,Multinomial logistic regression
diagnosis_class,1,0.010704030313544055,1,Multinomial logistic regression
diagnosis_class,2,0.008900811027355127,1,Multinomial logistic regression
diabetes,1,-1.832426337419757e-05,1,Multinomial logistic regression
diabetes,2,-2.5473431686462433e-05,1,Multinomial logistic regression
dementia,1,0.0003793969960066701,1,Multinomial logistic regression
dementia,2,0.00032359665672557214,1,Multinomial logistic regression
cancer_status,1,1.8878085106643905e-05,1,Multinomial logistic regression
cancer_status,2,7.539511888268735e-05,1,Multinomial logistic regression
age,1,9.996745157683784e-05,2,Multinomial logistic regression
age,2,0.0017740102796991453,2,Multinomial logistic regression
years_of_education,1,0.0013223446160093577,2,Multinomial logistic regression
years_of_education,2,0.0014098917370218844,2,Multinomial logistic regression
number_of_comorbidities,1,0.0003063864013987394,2,Multinomial logistic regression
number_of_comorbidities,2,3.166334657203618e-05,2,Multinomial logistic regression
hospital_day_at_study_entry,1,0.00604108440270007,2,Multinomial logistic regression
hospital_day_at_study_entry,2,0.00417787798056285,2,Multinomial logistic regression
mean_arterial_pressure,1,0.0012988369892918128,2,Multinomial logistic regression
mean_arterial_pressure,2,0.0008524656876058301,2,Multinomial logistic regression
white_blood_cell_count,1,0.0004856295608720862,2,Multinomial logistic regression
white_blood_cell_count,2,0.0005077049766949726,2,Multinomial logistic regression
heart_rate,1,0.0008569072669560307,2,Multinomial logistic regression
heart_rate,2,0.0007159913625886527,2,Multinomial logistic regression
respiratory_rate,1,-5.2588331204972416e-05,2,Multinomial logistic regression
respiratory_rate,2,0.00021956218834895402,2,Multinomial logistic regression
temperature,1,-4.53418387175164e-06,2,Multinomial logistic regression
temperature,2,1.1638265582536444e-05,2,Multinomial logistic regression
pao2_fio2_ratio,1,0.0007853399482790069,2,Multinomial logistic regression
pao2_fio2_ratio,2,0.0008167010335021763,2,Multinomial logistic regression
albumin,1,0.0007013823026224553,2,Multinomial logistic regression
albumin,2,0.00017468365083528337,2,Multinomial logistic regression
