model,fold,n_features,mean_daily_brier
Multinomial logistic regression,1,5,0.14759077048509722
Multinomial logistic regression,1,10,0.14257501130595424
Multinomial logistic regression,1,15,0.14140993169745733
Multinomial logistic regression,1,20,0.14029100212217288
Multinomial logistic regression,1,28,0.13956044126798206
Multinomial logistic regression,2,5,0.145991817906191
Multinomial logistic regression,2,10,0.14610527409156743
Multinomial logistic regression,2,15,0.14290160101643162
Multinomial logistic regression,2,20,0.14231526241277084
Multinomial logistic regression,2,28,0.14212628629710566
Multinomial logistic regression,3,5,0.14352922140546845
Multinomial logistic regression,3,10,0.1457380344274852
Multinomial logistic regression,3,15,0.14383540484013735
Multinomial logistic regression,3,20,0.14287360156530116
Multinomial logistic regression,3,28,0.14231475448574754
Multinomial logistic regression,4,5,0.1420188786460089
Multinomial logistic regression,4,10,0.14127192091649865
Multinomial logistic regression,4,15,0.1394416280726671
Multinomial logistic regression,4,20,0.13892574809996702
Multinomial logistic regression,4,28,0.13949244005915867
Multinomial logistic regression,5,5,0.14369335809148479
Multinomial logistic regression,5,10,0.1438986291337726
Multinomial logistic regression,5,15,0.14286643930791038
Multinomial logistic regression,5,20,0.14398921530891173
Multinomial logistic regression,5,28,0.14116343359391187
Histogram gradient boosting,1,5,0.14402415403914154
Histogram gradient boosting,1,10,0.1378234522661359
Histogram gradient boosting,1,15,0.1369073093006726
Histogram gradient boosting,1,20,0.13672674178883318
Histogram gradient boosting,1,28,0.13401206643970479
Histogram gradient boosting,2,5,0.14535811115842046
Histogram gradient boosting,2,10,0.14036746310639298
Histogram gradient boosting,2,15,0.13921422698750574
Histogram gradient boosting,2,20,0.1373540906346279
Histogram gradient boosting,2,28,0.1377415201767556
Histogram gradient boosting,3,5,0.1441484768215595
Histogram gradient boosting,3,10,0.14109967681207747
Histogram gradient boosting,3,15,0.13811182434504754
Histogram gradient boosting,3,20,0.13920944562117357
Histogram gradient boosting,3,28,0.13853193806232955
Histogram gradient boosting,4,5,0.14381022303002913
Histogram gradient boosting,4,10,0.13784484261387495
Histogram gradient boosting,4,15,0.13367277036708475
Histogram gradient boosting,4,20,0.13400303534660102
Histogram gradient boosting,4,28,0.13452753165369397
Histogram gradient boosting,5,5,0.14191464475708798
Histogram gradient boosting,5,10,0.138843829178168
Histogram gradient boosting,5,15,0.13712831868176162
Histogram gradient boosting,5,20,0.13693990570978007
Histogram gradient boosting,5,28,0.13807058123506044
