model,event,metric,horizon,Lower,Upper,Valid,Estimate,Invalid
Final model,In-hospital death,AUC,7,0.7915650556374451,0.8505215885877907,2000,0.822570888468809,0
Final model,In-hospital death,AUC,14,0.7891754888012091,0.8420965046181391,2000,0.816391744000484,0
Final model,In-hospital death,AUC,30,0.7948260683998032,0.8433044587219114,2000,0.81958413453704,0
Final model,In-hospital death,AUC,60,0.7883845580589708,0.8372132097670586,2000,0.8138090286273549,0
Final model,In-hospital death,AUC,90,0.7930023097004925,0.840723677238014,2000,0.8178655272512206,0
Final model,In-hospital death,Brier,7,0.07946773710516196,0.10129943643721732,2000,0.08961224715078464,0
Final model,In-hospital death,Brier,14,0.11162926268775501,0.13457021964790156,2000,0.12261600911759744,0
Final model,In-hospital death,Brier,30,0.12733580148156234,0.14950636618298105,2000,0.1381438551786724,0
Final model,In-hospital death,Brier,60,0.136347033230289,0.1583831372668743,2000,0.1471363043816983,0
Final model,In-hospital death,Brier,90,0.13645907740237734,0.15862084076967164,2000,0.14732278946081512,0
Final model,In-hospital death,Mean daily Brier,1-90,0.12463748311051577,0.14481766803768845,2000,0.13433336434391313,0
Final model,Live discharge,AUC,7,0.8122774369315517,0.8562027646410031,2000,0.8345701917130488,0
Final model,Live discharge,AUC,14,0.8195285212961106,0.8635760705126663,2000,0.8422237955721584,0
Final model,Live discharge,AUC,30,0.8263061555019918,0.8673437670556683,2000,0.8476293802219728,0
Final model,Live discharge,AUC,60,0.8065576266161664,0.8518204171864441,2000,0.8300518849699179,0
Final model,Live discharge,AUC,90,0.8034609881879392,0.8490703390315633,2000,0.8270167254522699,0
Final model,Live discharge,Brier,7,0.14340274507138828,0.16454044082024766,2000,0.15379840110158186,0
Final model,Live discharge,Brier,14,0.1489173341688892,0.17307917740600534,2000,0.1607230092857056,0
Final model,Live discharge,Brier,30,0.14400991511627012,0.16573288299543798,2000,0.15452663293700966,0
Final model,Live discharge,Brier,60,0.14225412908132723,0.16448581588329145,2000,0.15288817697191454,0
Final model,Live discharge,Brier,90,0.1404301484547807,0.16294205419697966,2000,0.15107445805045525,0
Final model,Live discharge,Mean daily Brier,1-90,0.1418782607637589,0.15906982416111945,2000,0.15025683444165647,0
Population baseline,In-hospital death,AUC,7,0.5,0.5,2000,0.5,0
Population baseline,In-hospital death,AUC,14,0.5,0.5,2000,0.5,0
Population baseline,In-hospital death,AUC,30,0.5,0.5,2000,0.5,0
Population baseline,In-hospital death,AUC,60,0.5,0.5,2000,0.5,0
Population baseline,In-hospital death,AUC,90,0.5,0.5,2000,0.5,0
Population baseline,In-hospital death,Brier,7,0.09505469239852639,0.12154834697272006,2000,0.10772557067314018,0
Population baseline,In-hospital death,Brier,14,0.1406617408706173,0.16844055145755002,2000,0.15429861152238392,0
Population baseline,In-hospital death,Brier,30,0.1658483747061512,0.1915785997994799,2000,0.17870812902185074,0
Population baseline,In-hospital death,Brier,60,0.17782207341664213,0.20380154267291717,2000,0.19041817972271552,0
Population baseline,In-hospital death,Brier,90,0.1810378672371551,0.20615766370990454,2000,0.19301807786262082,0
Population baseline,In-hospital death,Mean daily Brier,1-90,0.1611508131162156,0.18524097955190277,2000,0.17298370375852423,0
Population baseline,Live discharge,AUC,7,0.5,0.5,2000,0.5,0
Population baseline,Live discharge,AUC,14,0.5,0.5,2000,0.5,0
Population baseline,Live discharge,AUC,30,0.5,0.5,2000,0.5,0
Population baseline,Live discharge,AUC,60,0.5,0.5,2000,0.5,0
Population baseline,Live discharge,AUC,90,0.5,0.5,2000,0.5,0
Population baseline,Live discharge,Brier,7,0.21227969521410725,0.2288495731524548,2000,0.22032095950771666,0
Population baseline,Live discharge,Brier,14,0.24883922130542604,0.2508980188062404,2000,0.24985376424845404,0
Population baseline,Live discharge,Brier,30,0.2256690027332449,0.24244629606377915,2000,0.2339394994454807,0
Population baseline,Live discharge,Brier,60,0.2002256036431745,0.223147616377559,2000,0.21134952158780307,0
Population baseline,Live discharge,Brier,90,0.19389678689129605,0.2173878015028662,2000,0.20510491804583594,0
Population baseline,Live discharge,Mean daily Brier,1-90,0.2084151368081769,0.2240203925913021,2000,0.21598133264816272,0
