predicted,observed,patients,event
0.20864190162762059,0.19696969696969696,132,Live discharge
0.34405436739859335,0.2366412213740458,131,Live discharge
0.43447609287282757,0.35877862595419846,131,Live discharge
0.5296460335275711,0.4351145038167939,131,Live discharge
0.6638990987125568,0.6335877862595419,131,Live discharge
0.8123124369360778,0.7480916030534351,131,Live discharge
0.8852141456931621,0.8473282442748091,131,Live discharge
0.9297726511252697,0.9083969465648855,131,Live discharge
0.9534314573826611,0.9618320610687023,131,Live discharge
0.9702465511895016,0.9694656488549618,131,Live discharge
0.021415772729009266,0.0,132,In-hospital death
0.032716940675284245,0.030534351145038167,131,In-hospital death
0.04762320468074998,0.030534351145038167,131,In-hospital death
0.07613731310260699,0.06870229007633588,131,In-hospital death
0.12728166058939816,0.15267175572519084,131,In-hospital death
0.18669976651070372,0.2595419847328244,131,In-hospital death
0.259554854735364,0.25384615384615383,130,In-hospital death
0.33329231382509095,0.44696969696969696,132,In-hospital death
0.44940452721875973,0.4580152671755725,131,In-hospital death
0.6725335683704188,0.6259541984732825,131,In-hospital death
